"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\Codes\Mr.ReDeFix\HTML\test.html", "HTML", 0, 0, 0, 4473, 48, 1157, 5678
"d:\Codes\Mr.ReDeFix\README.md", "Markdown", 0, 0, 3, 0, 0, 2, 5
"d:\Codes\Mr.ReDeFix\app.js", "JavaScript", 31, 0, 0, 0, 5, 11, 47
"d:\Codes\Mr.ReDeFix\package.json", "JSON", 0, 24, 0, 0, 0, 1, 25
"d:\Codes\Mr.ReDeFix\settings.js", "JavaScript", 57, 0, 0, 0, 0, 9, 66
"d:\Codes\Mr.ReDeFix\src\AboveBelowEdge.js", "JavaScript", 9, 0, 0, 0, 1, 2, 12
"d:\Codes\Mr.ReDeFix\src\CollisionFailure.js", "JavaScript", 17, 0, 0, 0, 0, 2, 19
"d:\Codes\Mr.ReDeFix\src\ContainerEdge.js", "JavaScript", 9, 0, 0, 0, 0, 1, 10
"d:\Codes\Mr.ReDeFix\src\DOM.js", "JavaScript", 69, 0, 0, 0, 0, 9, 78
"d:\Codes\Mr.ReDeFix\src\DOMNode.js", "JavaScript", 112, 0, 0, 0, 2, 19, 133
"d:\Codes\Mr.ReDeFix\src\Driver.js", "JavaScript", 258, 0, 0, 0, 9, 31, 298
"d:\Codes\Mr.ReDeFix\src\Failure.js", "JavaScript", 323, 0, 0, 0, 7, 27, 357
"d:\Codes\Mr.ReDeFix\src\OverlapEdge.js", "JavaScript", 14, 0, 0, 0, 1, 4, 19
"d:\Codes\Mr.ReDeFix\src\PCEdge.js", "JavaScript", 50, 0, 0, 0, 4, 9, 63
"d:\Codes\Mr.ReDeFix\src\ProtrusionFailure.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"d:\Codes\Mr.ReDeFix\src\RLG.js", "JavaScript", 441, 0, 0, 0, 55, 40, 536
"d:\Codes\Mr.ReDeFix\src\RLGEdge.js", "JavaScript", 12, 0, 0, 0, 2, 3, 17
"d:\Codes\Mr.ReDeFix\src\RLGNode.js", "JavaScript", 457, 0, 0, 0, 38, 43, 538
"d:\Codes\Mr.ReDeFix\src\Range.js", "JavaScript", 129, 0, 0, 0, 16, 23, 168
"d:\Codes\Mr.ReDeFix\src\Rectangle.js", "JavaScript", 34, 0, 0, 0, 0, 10, 44
"d:\Codes\Mr.ReDeFix\src\RepairStatistics.js", "JavaScript", 11, 0, 0, 0, 0, 1, 12
"d:\Codes\Mr.ReDeFix\src\RightLeftEdge.js", "JavaScript", 9, 0, 0, 0, 1, 2, 12
"d:\Codes\Mr.ReDeFix\src\SmallRangeFailure.js", "JavaScript", 47, 0, 0, 0, 2, 6, 55
"d:\Codes\Mr.ReDeFix\src\ViewportFailure.js", "JavaScript", 35, 0, 0, 0, 4, 6, 45
"d:\Codes\Mr.ReDeFix\src\Webpage.js", "JavaScript", 80, 0, 0, 0, 3, 12, 95
"d:\Codes\Mr.ReDeFix\src\WrappingFailure.js", "JavaScript", 29, 0, 0, 0, 2, 3, 34
"d:\Codes\Mr.ReDeFix\src\utils.js", "JavaScript", 80, 0, 0, 0, 0, 8, 88
"d:\Codes\Mr.ReDeFix\xpath.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 2329, 24, 3, 4473, 200, 1443, 8472